from,to,numIncidents,arrested,ward,arrestDate
M000434,M000435,1,FALSE,6,NA
M000198,M000429,5,FALSE,3,NA
M000198,M000430,5,FALSE,3,NA
M000429,M000430,1,FALSE,3,NA
M000054,M000549,3,FALSE,NA,NA
M000656,M000657,1,FALSE,5,NA
M000047,M000399,3,FALSE,1,NA
M000047,M000398,3,FALSE,1,NA
M000399,M000398,3,FALSE,4,NA
M000488,M000489,1,FALSE,1,NA
M000038,M000424,5,FALSE,6,NA
M000610,M000611,1,FALSE,3,NA
M000610,M000612,1,FALSE,3,NA
M000611,M000612,3,FALSE,3,NA
M000822,M000823,2,FALSE,3,NA
M000431,M000432,1,FALSE,3,NA
M000883,M000884,1,FALSE,1,NA
M000883,M000885,1,FALSE,1,NA
M000884,M000885,1,FALSE,1,NA
M000055,M000450,3,TRUE,3,NA
M000055,M000451,3,TRUE,3,NA
M000450,M000451,1,FALSE,6,NA
M000536,M000537,1,FALSE,5,NA
M000536,M000538,1,FALSE,5,NA
M000537,M000538,3,FALSE,5,NA
M000508,M000509,1,FALSE,3,NA
M000508,M000510,1,FALSE,3,NA
M000509,M000510,2,FALSE,3,NA
M000436,M000437,1,FALSE,3,NA
M000613,M000614,1,FALSE,5,NA
M000277,M000440,2,FALSE,5,NA
M000277,M000551,2,FALSE,5,NA
M000440,M000551,2,FALSE,1,NA
M000511,M000512,1,FALSE,4,NA
M000477,M000478,2,FALSE,1,NA
M000477,M000479,2,FALSE,1,NA
M000478,M000479,1,FALSE,1,NA
M000255,M000785,5,FALSE,2,NA
M000255,M000784,5,FALSE,2,NA
M000785,M000784,2,FALSE,3,NA
M000568,M000569,2,FALSE,3,NA
M000568,M000570,2,FALSE,3,NA
M000569,M000570,1,FALSE,3,NA
M000095,M000695,3,FALSE,1,NA
M000539,M000540,1,FALSE,5,NA
M000539,M000541,1,FALSE,5,NA
M000540,M000541,1,FALSE,5,NA
M000466,M000467,1,FALSE,1,NA
M000748,M000749,1,FALSE,1,NA
M000458,M000685,3,FALSE,5,NA
M000458,M000684,3,FALSE,5,NA
M000685,M000684,3,FALSE,3,NA
M000630,M000631,1,FALSE,5,NA
M000630,M000632,1,FALSE,5,NA
M000631,M000632,1,FALSE,5,NA
M000868,M000869,1,FALSE,2,NA
M000868,M000870,1,FALSE,2,NA
M000869,M000870,1,FALSE,2,NA
M000513,M000514,1,FALSE,6,NA
M000305,M000581,4,FALSE,4,NA
M000305,M000582,4,FALSE,4,NA
M000581,M000582,1,FALSE,6,NA
M000003,M000892,3,FALSE,5,NA
M000003,M000893,3,FALSE,5,NA
M000892,M000893,1,FALSE,2,NA
M000504,M000505,1,FALSE,6,NA
M000504,M000506,1,FALSE,6,NA
M000505,M000506,1,FALSE,6,NA
M000542,M000543,1,FALSE,2,NA
M000542,M000544,1,FALSE,2,NA
M000543,M000544,1,FALSE,2,NA
M000537,M000545,3,FALSE,5,NA
M000537,M000546,3,FALSE,5,NA
M000545,M000546,1,FALSE,6,NA
M000518,M000678,2,FALSE,3,NA
M000518,M000677,2,FALSE,3,NA
M000678,M000677,3,FALSE,5,NA
M000541,M000698,2,FALSE,5,NA
M000541,M000699,2,FALSE,5,NA
M000698,M000699,1,FALSE,NA,NA
M000322,M000529,3,FALSE,5,NA
M000322,M000530,3,FALSE,5,NA
M000529,M000530,1,FALSE,6,NA
M000547,M000548,1,FALSE,2,NA
M000802,M000803,1,FALSE,6,NA
M000802,M000804,1,FALSE,6,NA
M000803,M000804,1,FALSE,6,NA
M000634,M000753,3,FALSE,3,NA
M000038,M000447,5,FALSE,6,NA
M000038,M000638,5,FALSE,6,NA
M000447,M000638,2,FALSE,6,NA
M000626,M000627,1,FALSE,6,NA
M000626,M000628,1,FALSE,6,NA
M000627,M000628,2,FALSE,6,NA
M000010,M000609,2,FALSE,3,NA
M000175,M000770,3,FALSE,1,NA
M000175,M000849,3,FALSE,1,NA
M000175,M000848,3,FALSE,1,NA
M000770,M000849,2,FALSE,6,NA
